bag_verblijfsobject_id,nummer,soort_woning
0599010000042414,71501000035,Zelfstandig
0599010000232601,90761000096,Zelfstandig
0599010000254633,71241000010,Zelfstandig
0599010000334429,71272000034,Zelfstandig
0599010000247172,71243000015,Zelfstandig
0599010400008729,87331000059,Onzelfstandig
0599010000212424,67711000038,Zelfstandig
0599010000186876,11032000027,Zelfstandig
0599010000043649,77111000065,Zelfstandig
0599010000331820,45941000032,Zelfstandig
0599010000322950,74201000045,Zelfstandig
0599010000166948,90131000012,Zelfstandig
0599010000204066,67762000005,Zelfstandig
0599010000119138,44901000085,Zelfstandig
0599010000017630,87682000022,Zelfstandig
0599010000087334,77431000017,Zelfstandig
0599010000191996,77431000033,Zelfstandig
0599010000250837,87461000010,Zelfstandig
0599010000377686,67891000048,Zelfstandig
0599010000164330,44909000015,Zelfstandig
0599010000253206,11051000019,Zelfstandig
0599010000332622,45951000088,Zelfstandig
0599010000343981,79842000061,Zelfstandig
0599010000283732,74471000024,Zelfstandig
0599010000128821,67732000021,Zelfstandig
0599010000025354,48463000057,Zelfstandig
0599030000011319,48971000001,Zelfstandig
0599010000115237,71391000004,Zelfstandig
0599010000108482,77511000032,Onzelfstandig
0599010000294431,45961000026,Zelfstandig
0599010000381669,49381000036,Zelfstandig
0599010000249332,71059000015,Zelfstandig
0599010000039649,88091000016,Zelfstandig
0599010000070989,85011000051,Zelfstandig
0599010000252367,88221000160,Zelfstandig
0599010000130601,85541000029,Zelfstandig
0599010000028504,48424000084,Zelfstandig
0599010000334387,11421000015,Zelfstandig
0599010000323623,74251000156,Zelfstandig
0599010000253045,11051000004,Zelfstandig
0599010000249549,11531000026,Zelfstandig
0599010000249192,11102000003,Zelfstandig
0599010000248743,11491000005,Zelfstandig
0599010000427446,77561000007,Zelfstandig
0599010000395830,71131000033,Zelfstandig
0599010000250267,87610000043,Zelfstandig
0599010000482748,77793000039,Onzelfstandig
0599010000484789,36360000052,Onzelfstandig
0599010000484797,36361000003,Onzelfstandig
0599010400013092,25056000030,Onzelfstandig
0599010000485023,82031000048,Onzelfstandig
0599010400028513,88053000028,Zelfstandig
0599010000235407,76083000008,Zelfstandig
0599010000318780,23109000020,Onzelfstandig
0599010400007780,77884000033,Onzelfstandig
0599010400001231,36366000011,Onzelfstandig
0599010400003165,36359000107,Onzelfstandig
0599010000221328,71466000002,Onzelfstandig
0599010400003165,36359000121,Onzelfstandig
0599010400006515,42009000061,Onzelfstandig
0599010400013952,87403000008,Onzelfstandig
0599010400027686,15004000039,Onzelfstandig
0599010000436957,12203000016,Zelfstandig
0599010000269571,14000000036,Zelfstandig
0599010000361334,10009000070,Zelfstandig
0599010000486859,17000000225,Zelfstandig
0599010000126112,14001000024,Onzelfstandig
0599010000480589,25071000025,Zelfstandig
0599010000204730,10011000197,Onzelfstandig
0599010000151117,10012000157,Onzelfstandig
0599010000342854,20002000241,Zelfstandig
0599010400026042,20002000079,Onzelfstandig
0599010000360317,20004000192,Zelfstandig
0599010000235242,14001000096,Onzelfstandig
0599010400025735,20001000095,Onzelfstandig
0599010400027035,10006000058,Onzelfstandig
0599010000486561,17000000446,Zelfstandig
0599010000043581,19002000032,Zelfstandig
0599010000360022,20004000327,Onzelfstandig
0599010400026174,20002000268,Onzelfstandig
0599010000360079,20004000041,Zelfstandig
0599010000360083,20004000045,Zelfstandig
0599010000128962,42035000014,Zelfstandig
0599010000143090,47012000057,Onzelfstandig
0599010400028151,44000000079,Onzelfstandig
0599010400028151,44000000080,Onzelfstandig
0599010400025612,45004000054,Onzelfstandig
0599010000026346,47024000013,Onzelfstandig
0599010400024318,12113000005,Onzelfstandig
0599010400035240,23133000047,Onzelfstandig
0599010400035278,23133000156,Onzelfstandig
0599010400021968,20005000082,Onzelfstandig
0599010400043950,12002000045,Onzelfstandig
0599010110003939,35043000011,Onzelfstandig
0599010110007805,51071000026,Onzelfstandig
0599010000325768,51160000009,Onzelfstandig
0599010110017076,36205000009,Onzelfstandig
0599010110030039,51161000013,Onzelfstandig
0599010000212258,71361000088,Zelfstandig
0599010000312676,71211000047,Zelfstandig
0599010000359857,71381000027,Zelfstandig
0599010000063608,90761000024,Zelfstandig
0599010000078770,71262000018,Zelfstandig
0599010000374361,71121000024,Zelfstandig
0599010000159024,81889000001,Zelfstandig
0599010000079515,74512000010,Zelfstandig
0599010000253002,11051000021,Zelfstandig
0599010000154184,45911000018,Zelfstandig
0599010000323048,74201000143,Zelfstandig
0599010000287682,74341000012,Onzelfstandig
0599010000323574,74251000102,Zelfstandig
0599010000069035,48462000072,Zelfstandig
0599010000132547,11251000003,Zelfstandig
0599010000336313,11361000017,Zelfstandig
0599010000217436,77111000051,Zelfstandig
0599010000334084,71059000044,Zelfstandig
0599010000339939,71232000009,Zelfstandig
0599010000078585,71241000001,Zelfstandig
0599010000250320,87613000020,Zelfstandig
0599010000323732,74442000046,Zelfstandig
0599010000098468,90171000011,Zelfstandig
0599010000040280,67851000027,Zelfstandig
0599010000040057,45901000013,Zelfstandig
0599010000078156,85313000007,Zelfstandig
0599010000196029,85551000030,Zelfstandig
0599010000374006,63601000016,Zelfstandig
0599010000304420,74291000034,Zelfstandig
0599010000250414,87614000024,Zelfstandig
0599010000275055,77131000036,Zelfstandig
0599010000252919,11501000014,Zelfstandig
0599010000349950,49391000046,Zelfstandig
0599010000166212,67801000105,Zelfstandig
0599010000338388,11353000052,Zelfstandig
0599010000326074,74481000035,Zelfstandig
0599010400028332,11451000026,Zelfstandig
0599010000246902,11993000002,Zelfstandig
0599010000285178,77461000098,Zelfstandig
0599010000195209,67802000006,Zelfstandig
0599010000023223,77421000074,Zelfstandig
0599010000222736,87713000006,Zelfstandig
0599010000250995,87624000050,Zelfstandig
0599010000328417,71701000001,Zelfstandig
0599010000484661,36360000032,Onzelfstandig
0599010000484797,36361000006,Onzelfstandig
0599010000484959,82031000089,Onzelfstandig
0599010000488515,77952000001,Onzelfstandig
0599010000487557,51070000010,Onzelfstandig
0599010000318887,23109000027,Onzelfstandig
0599010000327080,51064000069,Onzelfstandig
0599010400003165,36359000085,Onzelfstandig
0599010000300858,24005000026,Onzelfstandig
0599010400006367,42009000040,Onzelfstandig
0599010400019674,75074000052,Onzelfstandig
0599010400027047,10006000080,Onzelfstandig
0599010000118452,10010000101,Onzelfstandig
0599010000436963,12203000022,Zelfstandig
0599010000240940,60001000085,Zelfstandig
0599010000488944,10010000114,Onzelfstandig
0599010000487185,17000000630,Onzelfstandig
0599010000135438,18000000081,Onzelfstandig
0599010000480529,25072000022,Zelfstandig
0599010400025769,20001000138,Onzelfstandig
0599010000480564,25070000114,Onzelfstandig
0599010400026754,19000000095,Onzelfstandig
0599010000048049,14001000074,Onzelfstandig
0599010400027575,42025000001,Onzelfstandig
0599010000436950,12203000009,Zelfstandig
0599010400026874,19000000203,Onzelfstandig
0599010000230075,10012000042,Onzelfstandig
0599010400028346,18001000009,Onzelfstandig
0599010400027007,10008000035,Onzelfstandig
0599010000487185,17000000542,Onzelfstandig
0599010000346804,16002000097,Zelfstandig
0599010400025871,25073000040,Onzelfstandig
0599010400025882,25073000057,Onzelfstandig
0599010000054415,47012000054,Onzelfstandig
0599010400027579,47021000015,Onzelfstandig
0599010000160841,47012000060,Onzelfstandig
0599010000087285,42032000004,Zelfstandig
0599010000021741,77745000010,Onzelfstandig
0599010400019222,51021000010,Onzelfstandig
0599010400036630,36198000011,Onzelfstandig
0599010400035268,23133000146,Onzelfstandig
0599010400035271,23133000149,Onzelfstandig
0599010400022006,20005000141,Onzelfstandig
0599010000211254,71525000003,Onzelfstandig
0599010000028244,71525000055,Onzelfstandig
0599010110001089,74923000010,Onzelfstandig
0599010110000550,71018000004,Onzelfstandig
